source,neighborhood,price,covered_m2,ambientes,bedrooms,url,captured_at,price_per_m2
mercadolibre,Agronomía,219000.0,71.0,3,,https://departamento.mercadolibre.com.ar/MLA-3183086850-semipiso-de-3-ambientes-con-terraza-en-el-encantador-barrio-de-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,3085
mercadolibre,Agronomía,90000.0,31.0,1,,https://departamento.mercadolibre.com.ar/MLA-3457919870-departamento-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,2903
mercadolibre,Agronomía,240000.0,86.0,4,,https://departamento.mercadolibre.com.ar/MLA-1673979775-semipisos-de-4-ambientes-en-devoto-100m2-3-dormitorios-y-doble-balcon-al-frente-_JM,2026-09-16 21:47:36.885386+00:00,2791
mercadolibre,Agronomía,189000.0,59.0,2,,https://departamento.mercadolibre.com.ar/MLA-3193403984-semipiso-de-3-ambientes-con-terraza-en-el-encantador-barrio-de-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,3203
mercadolibre,Agronomía,69000.0,31.0,1,,https://departamento.mercadolibre.com.ar/MLA-1462135259-monoambiente-apto-credito--_JM,2026-09-16 21:47:36.885386+00:00,2226
mercadolibre,Agronomía,89900.0,44.0,2,,https://departamento.mercadolibre.com.ar/MLA-2093889747-ph-pb-con-2-patios-y-cochera-apto-credito-_JM,2026-09-16 21:47:36.885386+00:00,2043
mercadolibre,Agronomía,89000.0,44.0,1,,https://departamento.mercadolibre.com.ar/MLA-3950649088-departamento-en-venta-monoambiente-dividido-en-agronomia-muy-luminoso-amenities-_JM,2026-09-16 21:47:36.885386+00:00,2023
mercadolibre,Agronomía,68000.0,34.0,1,,https://departamento.mercadolibre.com.ar/MLA-3950640350-monoambiente-amplio-divisible-con-balcon-en-agronomia-villa-del-parque--_JM,2026-09-16 21:47:36.885386+00:00,2000
mercadolibre,Agronomía,140000.0,63.0,3,,https://departamento.mercadolibre.com.ar/MLA-3955064080-venta-dpto-3-amb-agronomia-depenbalcon-y-lav-_JM,2026-09-16 21:47:36.885386+00:00,2222
mercadolibre,Agronomía,175000.0,100.0,4,,https://departamento.mercadolibre.com.ar/MLA-2082844407-departamento-2-y-3-ambientes-unificados-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,1750
mercadolibre,Agronomía,179000.0,66.0,3,,https://departamento.mercadolibre.com.ar/MLA-3720477036-venta-departamento-duplex-3-ambientes-villa-devoto-_JM,2026-09-16 21:47:36.885386+00:00,2712
mercadolibre,Agronomía,179000.0,66.0,3,,https://departamento.mercadolibre.com.ar/MLA-3720667620-venta-departamento-3-ambientes-villa-devoto-duplex-_JM,2026-09-16 21:47:36.885386+00:00,2712
mercadolibre,Agronomía,93300.0,36.0,2,,https://departamento.mercadolibre.com.ar/MLA-2718249770-venta-departamento-2-ambientes-con-balcon-en-agronomia-a-estrenar-_JM,2026-09-16 21:47:36.885386+00:00,2592
mercadolibre,Agronomía,112000.0,41.0,2,,https://departamento.mercadolibre.com.ar/MLA-1945705433-villa-pueyredon-2-amb-con-parrilla-apto-credito-_JM,2026-09-16 21:47:36.885386+00:00,2732
mercadolibre,Agronomía,297000.0,93.0,4,,https://departamento.mercadolibre.com.ar/MLA-3628729194-departamento-a-estrenar-4-ambientes-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,3194
mercadolibre,Agronomía,110000.0,35.0,2,,https://departamento.mercadolibre.com.ar/MLA-2051555727-venta-departamento-2-ambientes-en-agronomia-a-estrenar-_JM,2026-09-16 21:47:36.885386+00:00,3143
mercadolibre,Agronomía,79000.0,35.0,1,,https://departamento.mercadolibre.com.ar/MLA-2057562865-venta-monoambiente-con-balcon-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,2257
mercadolibre,Agronomía,154000.0,51.0,3,,https://departamento.mercadolibre.com.ar/MLA-3832731724-departamento-3-ambientes-venta-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,3020
mercadolibre,Agronomía,270000.0,94.0,4,,https://departamento.mercadolibre.com.ar/MLA-3912414522-venta-4-ambientes-departamento-estrenar-amenities-_JM,2026-09-16 21:47:36.885386+00:00,2872
mercadolibre,Agronomía,355000.0,121.0,4,,https://departamento.mercadolibre.com.ar/MLA-3912427666-venta-4-ambientes-a-estrenar-amenities-_JM,2026-09-16 21:47:36.885386+00:00,2934
mercadolibre,Agronomía,297000.0,94.0,4,,https://departamento.mercadolibre.com.ar/MLA-3912427358-venta-4-ambientes-departamento-estrenar-amenities-_JM,2026-09-16 21:47:36.885386+00:00,3160
mercadolibre,Agronomía,159600.0,66.0,3,,https://departamento.mercadolibre.com.ar/MLA-1948785803-nuevo-emprendimiento-de-pozo-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,2418
mercadolibre,Agronomía,365000.0,121.0,4,,https://departamento.mercadolibre.com.ar/MLA-3912427356-venta-4-ambientes-agronomia-amenities-a-estrenar-_JM,2026-09-16 21:47:36.885386+00:00,3017
mercadolibre,Agronomía,74550.0,32.0,1,,https://departamento.mercadolibre.com.ar/MLA-3861895022-nuevo-emprendimiento-de-pozo-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,2330
mercadolibre,Agronomía,93300.0,37.0,2,,https://departamento.mercadolibre.com.ar/MLA-2061579493-departamento-en-venta-villa-urquiza-2-ambientes-_JM,2026-09-16 21:47:36.885386+00:00,2522
mercadolibre,Agronomía,93300.0,37.0,2,,https://departamento.mercadolibre.com.ar/MLA-2061605311-departamento-en-venta-villa-urquiza-2-ambientes-_JM,2026-09-16 21:47:36.885386+00:00,2522
mercadolibre,Agronomía,230000.0,90.0,2,,https://departamento.mercadolibre.com.ar/MLA-3727514944-departamento-2-ambientes-en-venta-en-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,2556
mercadolibre,Agronomía,103600.0,40.0,2,,https://departamento.mercadolibre.com.ar/MLA-2689971392-agronomia-venta-2-amb-de-pozo-52m-con-vistas-increibles-a-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,2590
mercadolibre,Agronomía,78500.0,38.0,2,,https://departamento.mercadolibre.com.ar/MLA-1880510857-venta-2-ambientes-con-patio-propio-barrio-rawson-_JM,2026-09-16 21:47:36.885386+00:00,2066
mercadolibre,Agronomía,150000.0,88.0,4,,https://departamento.mercadolibre.com.ar/MLA-3568621438-venta-departamento-4-amb-con-balcon-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,1705
mercadolibre,Agronomía,98000.0,40.0,2,,https://departamento.mercadolibre.com.ar/MLA-3950894060-departamento-2-ambientes-pb-2-patios-propios-55-m2-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,2450
mercadolibre,Agronomía,75000.0,41.0,1,,https://departamento.mercadolibre.com.ar/MLA-3727528090-monoambiente-en-venta-en-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,1829
mercadolibre,Agronomía,130000.0,76.0,4,,https://departamento.mercadolibre.com.ar/MLA-1854647819-departamento-4-ambientes-venta-agronomia-_JM,2026-09-16 21:47:36.885386+00:00,1711
mercadolibre,Agronomía,140000.0,71.0,3,,https://departamento.mercadolibre.com.ar/MLA-1811310759-agronomia-venta-3-ambientes-con-terraza-_JM,2026-09-16 21:47:36.885386+00:00,1972
mercadolibre,Agronomía,310000.0,104.0,4,,https://departamento.mercadolibre.com.ar/MLA-1882347067-agronomia-4-ambientes-vistas-abiertas-con-cochera-a-estrenar-_JM,2026-09-16 21:47:36.885386+00:00,2981
